,C 1 Comdty,CL1 Comdty,GC1 Comdty,HG1 Comdty,NG1 Comdty,S 1 Comdty,SI1 Comdty
2023-05-19,1655.2626785982,1994.2565383494,0.0,18644.334008272202,-0.0,-28122.53031894285,0.0
2023-05-22,-36469.82140797465,-2834.7583286205,-0.0,-11313.03708081,96355.16296637221,36830.193063246,-0.0
2023-05-23,-14384.15114742045,-5542.697691331649,0.0,-6707.9993190723,45364.2764909247,-20335.15744935975,-0.0
2023-05-24,-21553.37725614975,-9206.5859476893,-0.0,-20432.238655082398,-44168.9887545057,2166.78637766295,-0.0
2023-05-25,-7742.7427385547,16171.576748037001,-0.0,5826.328245027899,52237.71765726435,-542.0909732265,-0.0
2023-05-26,-29307.3223737357,-5411.1728733876,0.0,20663.8102899018,72318.06953120836,14363.2105718841,0.0
2023-05-29,-12156.6071359917,5021.06859568395,0.0,-19660.5207520875,63663.23267420985,0.0,0.0
2023-05-30,30969.78506910315,-0.0,0.0,-0.0,93234.72455619976,-44178.7226404662,-0.0
2023-05-31,-0.0,-0.0,0.0,-0.0,63152.9019340398,3521.2527288144,0.0
2023-06-01,4642.50304757835,0.0,0.0,0.0,111810.2671817667,32232.5940722517,0.0
2023-06-02,-51119.71246841535,0.0,-0.0,0.0,-14508.7328865168,24944.778075167553,-0.0
2023-06-05,0.0,-37126.97382566565,0.0,-17596.5482678994,-19433.074159520103,-2711.63108364165,-0.0
2023-06-06,0.0,-5288.8762225728,0.0,-220.09996855919914,13223.0884537071,3527.41403287215,0.0
2023-06-07,-0.0,10189.20236775165,-0.0,5501.6573597959505,52106.551827024145,8138.9408229342,-0.0
2023-06-08,0.0,-15982.57365546915,0.0,-17153.7890940819,17875.46304850635,13147.9067560374,0.0
2023-06-09,-0.0,-14439.3728079789,-0.0,2639.6842851873002,-76183.48189198396,19100.3989089114,0.0
2023-06-12,30457.297108106097,41880.72325741559,-0.0,16270.577426893049,58535.91774990765,6885.5048509896,-0.0
2023-06-13,4971.54104256195,-29632.23508329135,-0.0,-33074.564429366554,-38324.9388276045,25449.979783362298,-0.0
2023-06-14,-4970.08136318085,14811.767425435499,0.0,-15547.05032347845,-1035.50503665645,417.0902867293128,0.0
2023-06-15,62667.954742068,-30229.261807502247,0.0,-12028.264814204551,-98765.7174988569,43530.83545786875,-0.0
2023-06-16,57072.733951873495,-14918.816466652052,0.0,2405.19160305315,-51182.883925965,41648.31296456355,0.0
2023-06-19,0.0,15812.41421374515,0.0,0.0,103356.13077686609,-86175.62634508604,0.0
2023-06-20,0.0,-0.0,-0.0,2188.18753171335,-108651.66807119266,-416.7973600661776,-0.0
2023-06-21,77624.79750923715,0.0,-0.0,-7441.9291055313,81511.6592867148,-28558.645355097,-0.0
2023-06-22,-19878.29459445555,-0.0,-0.0,4379.00341615785,8542.04385781305,31278.57594109425,-0.0
2023-06-23,-81369.4938982677,-0.0,0.0,37218.2016546306,93954.0827503917,24603.613460717403,0.0
2023-06-26,6335.9636509548,0.0,0.0,4816.7192138584505,48144.220821353694,12510.951041897999,0.0
2023-06-27,-40643.3856645909,-0.0,-0.0,7009.35816849435,-21752.54765867025,-23990.347524717,0.0
2023-06-28,-36164.26746116145,0.0,-0.0,20149.33230409005,-124284.4051606641,-24404.455285421398,-0.0
2023-06-29,-12312.1036416645,0.0,0.0,19067.8825925388,25027.0304903172,626.2026426323999,-0.0
